House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Buckley Crescent,Mandy,Robinson,55,Head,Single,Female,Unemployed,None,No Religion
1,Buckley Crescent,Joyce,Robinson,23,Daughter,Single,Female,Chemical engineer,None,No Religion
1,Buckley Crescent,Amy,Robinson,22,Daughter,Single,Female,University Student,None,No Religion
2,Buckley Crescent,Katie,Henderson,40,Head,Married,Female,Trade union research officer,None,Hindu
2,Buckley Crescent,Elliot,Henderson,44,Husband,Married,Male,Dancer,None,Hindu
2,Buckley Crescent,Marion,Henderson,18,Daughter,Single,Female,Student,None,No Religion
2,Buckley Crescent,Stewart,Henderson,16,Son,NA,Male,Student,None,Hindu
3,Buckley Crescent,Leon,Taylor,39,Head,Single,Male,Race relations officer,None,Christian
3,Buckley Crescent,Billy,Wilson,62,None,Divorced,Male,Pensions consultant,None,Christian
3,Buckley Crescent,Jordan,Black,20,None,Single,Male,University Student,None,Christian
4,Buckley Crescent,Cheryl,Phillips,64,Head,Divorced,Female,"Surveyor, planning and development",None,No Religion
4,Buckley Crescent,Mohamed,Phillips,22,Grandson,Single,Male,University Student,None,No Religion
4,Buckley Crescent,Stephen,Thomson,19,Grandson,Single,Male,University Student,None,No Religion
4,Buckley Crescent,Lydia,Thomson,13,Granddaughter,NA,Female,Student,None,NA
5,Buckley Crescent,Michelle,Cooper,64,Head,Married,Female,Research scientist (medical),None,No Religion
5,Buckley Crescent,Martyn,Cooper,66,Husband,Married,Male,Jewellery designer,None,No Religion
5,Buckley Crescent,Shannon,Cooper,30,Daughter,Single,Female,Armed forces technical officer,None,No Religion
6,Buckley Crescent,Ian,Barton,37,Head,Divorced,Male,Water engineer,None,Christian
6,Buckley Crescent,Arthur,Barton,15,Son,NA,Male,Student,None,NA
6,Buckley Crescent,Karl,Barton,13,Son,NA,Male,Student,None,NA
6,Buckley Crescent,Jean,Barton,9,Daughter,NA,Female,Student,None,NA
7,Buckley Crescent,Irene,Brennan,47,Head,Married,Female,Volunteer coordinator,None,No Religion
7,Buckley Crescent,Mohammad,Brennan,53,Husband,Married,Male,"Designer, furniture",None,No Religion
7,Buckley Crescent,Catherine,Brennan,14,Daughter,NA,Female,Student,None,No Religion
7,Buckley Crescent,Jane,Brennan,13,Daughter,NA,Female,Student,None,No Religion
8,Buckley Crescent,Nathan,Pearce,29,Head,Married,Male,Contractor,None,No Religion
8,Buckley Crescent,Debra,Pearce,27,Wife,Married,Female,"Designer, fashion/clothing",None,No Religion
8,Buckley Crescent,Philip,Pearce,11,Son,NA,Male,Student,None,No Religion
8,Buckley Crescent,Elizabeth,Pearce,10,Daughter,NA,Female,Student,None,No Religion
8,Buckley Crescent,Lorraine,Pearce,9,Daughter,NA,Female,Student,None,No Religion
9,Buckley Crescent,Charlene,Whitehead,49,Head,Married,Female,Theatre stage manager,None,Christian
9,Buckley Crescent,Ian,Whitehead,50,Husband,Married,Male,Unemployed,None,No Religion
9,Buckley Crescent,Olivia,Morgan-Whitehead,22,Daughter,Single,Female,University Student,None,Christian
9,Buckley Crescent,Martyn,Morgan-Whitehead,19,Son,Single,Male,University Student,None,Christian
9,Buckley Crescent,Wayne,Morgan-Whitehead,17,Son,NA,Male,Student,None,Christian
10,Buckley Crescent,Karen,Griffiths,34,Head,Single,Female,"Engineer, communications",None,No Religion
10,Buckley Crescent,Kirsty,Griffiths,4,Daughter,NA,Female,Child,None,NA
10,Buckley Crescent,Clare,Griffiths,0,Daughter,NA,Female,Child,None,NA
