House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Byrne Windmill,Mark,Abbott,40,Head,Married,Male,Clinical biochemist,Unknown Infection,Christian
1,Buckley Crescent,Mandy,Robinson,55,Head,Single,Female,Unemployed,None,No Religion
1,Buckley Crescent,Joyce,Robinson,23,Head,Single,Female,Chemical engineer,None,No Religion
1,Buckley Crescent,Amy,Robinson,22,Head,Single,Female,University Student,None,No Religion
1,Iron Road,Rita,Clark,53,Head,Single,Female,Police officer,None,Christian
1,Iron Road,Russell,Charlton,55,Head,Single,Male,Osteopath,None,Christian
1,Ali Crescent,Mohamed,Wilson-Moran,65,Head,Widowed,Male,Radio broadcast assistant,None,No Religion
1,Ali Crescent,Sam,Wilson-Moran,2,Minor,N/A,Male,Child,None,Not Specified
1,Brightwaterbranch Street,Kayleigh,Frost,20,Head,Single,Female,University Student,None,No Religion
1,Brightwaterbranch Street,Marie,Whitehouse,62,Head,Single,Female,"Librarian, academic",None,Christian
1,Brightwaterbranch Street,Gillian,Lucas,41,Head,Single,Female,Graphic designer,None,Christian
1,Brightwaterbranch Street,Jay,Phillips,54,Head,Single,Male,Unemployed,None,Christian
1,December Drive,Annette,Brown,30,Head,Single,Female,"Journalist, newspaper",None,No Religion
1,December Drive,Mathew,Parker,31,Head,Single,Male,Unemployed,None,Christian
1,December Drive,Bethany,Davies,25,Head,Single,Female,"Conservator, furniture",None,Christian
1,Edwards Keys,Jayne,Andrews,48,Head,Single,Female,Pharmacologist,None,Christian
1,Mahmood Causeway,Gillian,Roberts,34,Head,Married,Female,Art therapist,None,Christian
1,Mahmood Causeway,Toby,Roberts,31,Head,Married,Male,Chief Operating Officer,None,Christian
1,Mahmood Causeway,Vanessa,Roberts,10,Minor,N/A,Female,Student,None,Christian
1,Corporationskip Close,Gerard,Begum,74,Head,Married,Male,Retired Technical author,None,Christian
1,Corporationskip Close,Janet,Begum,72,Head,Married,Female,Retired Building surveyor,None,No Religion
1,Falcon Street,Elliot,Morgan,20,Head,Single,Male,University Student,None,No Religion
1,Falcon Street,Henry,Rose,31,Head,Single,Male,Writer,None,Christian
1,Wakefield Port,Shannon,Jones,47,Head,Married,Female,Academic librarian,None,Muslim
1,Wakefield Port,Darren,Jones,46,Head,Married,Male,Exhibition designer,None,Muslim
1,Hunt Prairie,Chelsea,Parsons,53,Head,Married,Female,Clothing/textile technologist,None,Christian
1,Hunt Prairie,William,Parsons,58,Head,Married,Male,"Geneticist, molecular",None,No Religion
1,Hunt Prairie,Carolyn,Parsons,22,Head,Single,Female,University Student,None,Christian
1,Hunt Prairie,Callum,Parsons,4,Minor,N/A,Male,Child,None,Christian
1,Craig Fords,Margaret,Ahmed,35,Head,Divorced,Female,Insurance underwriter,None,No Religion
1,Rogers Ford,Jean,Johnson,57,Head,Single,Female,Advice worker,None,No Religion
1,Rogers Ford,Harry,Johnson,28,Head,Single,Male,Unemployed,None,No Religion
1,Wallace Camp,Nicole,Marshall,18,Head,Single,Female,Student,None,Not Specified
1,Wallace Camp,Tracey,Murphy,41,Head,Single,Female,Scientific laboratory technician,None,Christian
1,Wallace Camp,Jeremy,Ward,43,Head,Single,Male,Licensed conveyancer,None,No Religion
1,Wallace Camp,Natalie,Cook,43,Head,Single,Female,Chartered legal executive (England and Wales),None,No Religion
1,Wallace Camp,Wendy,Davies,61,Head,Single,Female,"Loss adjuster, chartered",None,Muslim
1,Clementine Drive,Alex,Walker,71,Head,Widowed,Male,"Retired Scientist, research (physical sciences)",None,No Religion
1,Williams Inlet,Victor,Marsh,30,Head,Married,Male,Geoscientist,None,Christian
1,Williams Inlet,Samantha,Marsh,23,Head,Married,Female,Waste management officer,None,No Religion
1,Williams Inlet,Joyce,Wright,31,Head,Single,Female,"Teacher, secondary school",None,No Religion
1,Black Drive,Charlene,Banks,57,Head,Single,Female,"Scientist, research (life sciences)",None,No Religion
1,Black Drive,Margaret,Burgess,61,Head,Single,Female,Unemployed,None,Christian
1,Black Drive,Victor,Williams,0,Minor,Single,Male,Child,None,Not Specified
1,Squirrel Well,Sarah,Smith,34,Head,Single,Female,Historic buildings inspector/conservation officer,None,Christian
